,IE0005042456,IE000BI0GCN3,IE000T9EOCL3,IE00B0M62X26,IE00B14X4Q57,IE00B1XNHC34,IE00B3FH7618,IE00B3ZW0K18,IE00B52MJY50,IE00B52VJ196,IE00B5M4WH52,IE00B66F4759,IE00B9M6RS56,IE00BD8PGZ49,IE00BDFK1573,IE00BDZVH966,IE00BFNM3G45,IE00BGPP6697,IE00BH4G7D40,IE00BHZPJ015,IE00BHZPJ239,IE00BHZPJ452,IE00BHZPJ783,IE00BHZPJ908,IE00BLDGH553,IE00BMDFDY08,IE00BMG6Z448,IE00BYYHSM20,IE00BYZTVT56,IE00BZ173V67,IE00BZ1NCS44
36,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255,4.947024965286255
37,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194,4.938358290990194
38,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568,4.927174965540568
39,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897,4.915741634368897
40,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912,4.905408302942912
41,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315,4.897199964523315
42,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179,4.888433297475179
43,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618,4.881566635767618
44,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306,4.876416635513306
45,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341,4.872391637166341
