,IE0005042456,IE000BI0GCN3,IE000T9EOCL3,IE00B0M62X26,IE00B14X4Q57,IE00B1XNHC34,IE00B3FH7618,IE00B3ZW0K18,IE00B52MJY50,IE00B52VJ196,IE00B5M4WH52,IE00B66F4759,IE00B9M6RS56,IE00BD8PGZ49,IE00BDFK1573,IE00BDZVH966,IE00BFNM3G45,IE00BGPP6697,IE00BH4G7D40,IE00BHZPJ015,IE00BHZPJ239,IE00BHZPJ452,IE00BHZPJ783,IE00BHZPJ908,IE00BLDGH553,IE00BMDFDY08,IE00BMG6Z448,IE00BYYHSM20,IE00BYZTVT56,IE00BZ173V67,IE00BZ1NCS44
179,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668,4.627400016784668
180,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886,4.629266691207886
181,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295,4.630566692352295
182,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659,4.633858362833659
183,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483,4.63547503153483
184,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356,4.636108366648356
185,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998,4.636075035730998
186,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493,4.634616708755493
187,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705,4.6312917073567705
188,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108,4.629025030136108
189,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355,4.628500016530355
190,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885,4.630150016148885
191,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389,4.63116668065389
192,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359,4.630400005976359
193,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424,4.631591669718424
194,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295,4.6339333375295
195,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849,4.638183339436849
196,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005,4.643883339564005
197,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293,4.648841667175293
198,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469,4.654600000381469
199,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102,4.658783340454102
200,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445,4.6629000027974445
201,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658,4.666875012715658
202,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045,4.6701000213623045
203,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153,4.674791685740153
204,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936,4.678291686375936
205,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047,4.679733355840047
206,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118,4.681941684087118
207,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795,4.6827000141143795
208,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991,4.684583346048991
209,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868,4.682874997456868
210,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843,4.679558324813843
211,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905,4.6753166516621905
212,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106,4.6695666472117106
213,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397,4.661291646957397
214,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564,4.655641651153564
215,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563,4.65058331489563
216,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746,4.646791648864746
217,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666,4.645674991607666
218,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632,4.641683340072632
219,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688,4.637716674804688
220,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839,4.633025010426839
221,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673,4.628416681289673
222,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203,4.623816680908203
223,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485,4.61766668955485
224,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597,4.610450013478597
225,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145,4.6014333407084145
226,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486,4.593383344014486
227,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471,4.587208350499471
228,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117,4.582825009028117
229,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592,4.579066673914592
230,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455,4.5740750153859455
231,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303,4.568741671244303
