date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2019-04-18,5.06,0.0,0.0,0.0,5.06,0.0,0,5.06,0.0
2019-04-19,5.06,0.0,0.0,0.0,5.06,0.0,0,5.06,0.0
2019-04-20,5.06,0.0,0.0,0.0,5.06,0.0,0,5.06,0.0
2019-04-21,5.06,0.0,0.0,0.0,5.06,0.0,0,5.06,0.0
2019-04-22,5.06,0.0,0.0,0.0,5.06,0.0,0,5.06,0.0
2019-04-23,5.06,0.0,0.0,0.0,5.06,0.0,0,5.06,0.0
2019-04-24,5.06,0.0,0.0,0.0,5.06,0.0,0,5.06,0.0
2019-04-25,5.05,-0.19762845849802257,0.0,0.0,5.05,-0.19762845849802257,0,5.05,-0.19762845849802257
2019-04-26,5.06,0.0,0.0,0.0,5.06,0.0,0,5.06,0.0
2019-04-27,5.06,0.0,0.0,0.0,5.06,0.0,0,5.06,0.0
2019-04-28,5.06,0.0,0.0,0.0,5.06,0.0,0,5.06,0.0
2019-04-29,5.07,0.19762845849804478,0.0,0.0,5.07,0.19762845849804478,0,5.07,0.19762845849804478
2019-04-30,5.08,0.39525691699606735,0.0,0.0,5.08,0.39525691699606735,0,5.08,0.39525691699606735
2019-05-01,5.08,0.39525691699606735,0.0,0.0,5.08,0.39525691699606735,0,5.08,0.39525691699606735
2019-05-02,5.06,0.0,0.0,0.0,5.06,0.0,0,5.06,0.0
2019-05-03,5.07,0.19762845849804478,0.0,0.0,5.07,0.19762845849804478,0,5.07,0.19762845849804478
2019-05-04,5.07,0.19762845849804478,0.0,0.0,5.07,0.19762845849804478,0,5.07,0.19762845849804478
2019-05-05,5.07,0.19762845849804478,0.0,0.0,5.07,0.19762845849804478,0,5.07,0.19762845849804478
2019-05-06,5.07,0.19762845849804478,0.0,0.0,5.07,0.19762845849804478,0,5.07,0.19762845849804478
2019-05-07,4.95,-2.1739130434782483,0.0,0.0,4.95,-2.1739130434782483,0,4.95,-2.1739130434782483
2019-05-08,4.96,-1.9762845849802257,0.0,0.0,4.96,-1.9762845849802257,0,4.96,-1.9762845849802257
2019-05-09,4.88,-3.5573122529644174,0.0,0.0,4.88,-3.5573122529644174,0,4.88,-3.5573122529644174
2019-05-10,4.9,-3.162055335968361,0.0,0.0,4.9,-3.162055335968361,0,4.9,-3.162055335968361
2019-05-11,4.9,-3.162055335968361,0.0,0.0,4.9,-3.162055335968361,0,4.9,-3.162055335968361
2019-05-12,4.9,-3.162055335968361,0.0,0.0,4.9,-3.162055335968361,0,4.9,-3.162055335968361
2019-05-13,4.83,-4.545454545454541,0.0,0.0,4.83,-4.545454545454541,0,4.83,-4.545454545454541
