date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2019-04-18,4.43,0.0,0.0,0.0,4.43,0.0,0,4.43,0.0
2019-04-19,4.43,0.0,0.0,0.0,4.43,0.0,0,4.43,0.0
2019-04-20,4.43,0.0,0.0,0.0,4.43,0.0,0,4.43,0.0
2019-04-21,4.43,0.0,0.0,0.0,4.43,0.0,0,4.43,0.0
2019-04-22,4.43,0.0,0.0,0.0,4.43,0.0,0,4.43,0.0
2019-04-23,4.46,0.6772009029345494,0.0,0.0,4.46,0.6772009029345494,0,4.46,0.6772009029345494
2019-04-24,4.44,0.22573363431153126,0.0,0.0,4.44,0.22573363431153126,0,4.44,0.22573363431153126
2019-04-25,4.51,1.8058690744920947,0.0,0.0,4.51,1.8058690744920947,0,4.51,1.8058690744920947
2019-04-26,4.51,1.8058690744920947,0.0,0.0,4.51,1.8058690744920947,0,4.51,1.8058690744920947
2019-04-27,4.51,1.8058690744920947,0.0,0.0,4.51,1.8058690744920947,0,4.51,1.8058690744920947
2019-04-28,4.51,1.8058690744920947,0.0,0.0,4.51,1.8058690744920947,0,4.51,1.8058690744920947
2019-04-29,4.51,1.8058690744920947,0.0,0.0,4.51,1.8058690744920947,0,4.51,1.8058690744920947
2019-04-30,4.51,1.8058690744920947,0.0,0.0,4.51,1.8058690744920947,0,4.51,1.8058690744920947
2019-05-01,4.51,1.8058690744920947,0.0,0.0,4.51,1.8058690744920947,0,4.51,1.8058690744920947
2019-05-02,4.51,1.8058690744920947,0.0,0.0,4.51,1.8058690744920947,0,4.51,1.8058690744920947
2019-05-03,4.51,1.8058690744920947,0.0,0.0,4.51,1.8058690744920947,0,4.51,1.8058690744920947
2019-05-04,4.51,1.8058690744920947,0.0,0.0,4.51,1.8058690744920947,0,4.51,1.8058690744920947
2019-05-05,4.51,1.8058690744920947,0.0,0.0,4.51,1.8058690744920947,0,4.51,1.8058690744920947
2019-05-06,4.51,1.8058690744920947,0.0,0.0,4.51,1.8058690744920947,0,4.51,1.8058690744920947
2019-05-07,4.49,1.3544018058690765,0.0,0.0,4.49,1.3544018058690765,0,4.49,1.3544018058690765
2019-05-08,4.42,-0.22573363431150906,0.0,0.0,4.42,-0.22573363431150906,0,4.42,-0.22573363431150906
2019-05-09,4.4,-0.6772009029345272,0.0,0.0,4.4,-0.6772009029345272,0,4.4,-0.6772009029345272
2019-05-10,4.37,-1.3544018058690654,0.0,0.0,4.37,-1.3544018058690654,0,4.37,-1.3544018058690654
2019-05-11,4.37,-1.3544018058690654,0.0,0.0,4.37,-1.3544018058690654,0,4.37,-1.3544018058690654
2019-05-12,4.37,-1.3544018058690654,0.0,0.0,4.37,-1.3544018058690654,0,4.37,-1.3544018058690654
2019-05-13,4.37,-1.3544018058690654,0.0,0.0,4.37,-1.3544018058690654,0,4.37,-1.3544018058690654
2019-05-14,4.35,-1.8058690744921058,0.0,0.0,4.35,-1.8058690744921058,0,4.35,-1.8058690744921058
2019-05-15,4.39,-0.9029345372460473,0.0,0.0,4.39,-0.9029345372460473,0,4.39,-0.9029345372460473
2019-05-16,4.35,-1.8058690744921058,0.0,0.0,4.35,-1.8058690744921058,0,4.35,-1.8058690744921058
2019-05-17,4.4,-0.6772009029345272,0.0,0.0,4.4,-0.6772009029345272,0,4.4,-0.6772009029345272
2019-05-18,4.4,-0.6772009029345272,0.0,0.0,4.4,-0.6772009029345272,0,4.4,-0.6772009029345272
2019-05-19,4.4,-0.6772009029345272,0.0,0.0,4.4,-0.6772009029345272,0,4.4,-0.6772009029345272
2019-05-20,4.41,-0.4514672686230181,0.0,0.0,4.41,-0.4514672686230181,0,4.41,-0.4514672686230181
2019-05-21,4.38,-1.1286681715575564,0.0,0.0,4.38,-1.1286681715575564,0,4.38,-1.1286681715575564
2019-05-22,4.37,-1.3544018058690654,0.0,0.0,4.37,-1.3544018058690654,0,4.37,-1.3544018058690654
2019-05-23,4.39,-0.9029345372460473,0.0,0.0,4.39,-0.9029345372460473,0,4.39,-0.9029345372460473
2019-05-24,4.39,-0.9029345372460473,0.0,0.0,4.39,-0.9029345372460473,0,4.39,-0.9029345372460473
2019-05-25,4.39,-0.9029345372460473,0.0,0.0,4.39,-0.9029345372460473,0,4.39,-0.9029345372460473
2019-05-26,4.39,-0.9029345372460473,0.0,0.0,4.39,-0.9029345372460473,0,4.39,-0.9029345372460473
2019-05-27,4.4,-0.6772009029345272,0.0,0.0,4.4,-0.6772009029345272,0,4.4,-0.6772009029345272
2019-05-28,4.4,-0.6772009029345272,0.0,0.0,4.4,-0.6772009029345272,0,4.4,-0.6772009029345272
2019-05-29,4.38,-1.1286681715575564,0.0,0.0,4.38,-1.1286681715575564,0,4.38,-1.1286681715575564
2019-05-30,4.37,-1.3544018058690654,0.0,0.0,4.37,-1.3544018058690654,0,4.37,-1.3544018058690654
2019-05-31,4.35,-1.8058690744921058,0.0,0.0,4.35,-1.8058690744921058,0,4.35,-1.8058690744921058
2019-06-01,4.35,-1.8058690744921058,0.0,0.0,4.35,-1.8058690744921058,0,4.35,-1.8058690744921058
2019-06-02,4.35,-1.8058690744921058,0.0,0.0,4.35,-1.8058690744921058,0,4.35,-1.8058690744921058
2019-06-03,4.32,-2.483069977426622,0.0,0.0,4.32,-2.483069977426622,0,4.32,-2.483069977426622
2019-06-04,4.29,-3.160270880361171,0.0,0.0,4.29,-3.160270880361171,0,4.29,-3.160270880361171
2019-06-05,4.38,-1.1286681715575564,0.0,0.0,4.38,-1.1286681715575564,0,4.38,-1.1286681715575564
2019-06-06,4.36,-1.5801354401805745,0.0,0.0,4.36,-1.5801354401805745,0,4.36,-1.5801354401805745
2019-06-07,4.38,-1.1286681715575564,0.0,0.0,4.38,-1.1286681715575564,0,4.38,-1.1286681715575564
2019-06-08,4.38,-1.1286681715575564,0.0,0.0,4.38,-1.1286681715575564,0,4.38,-1.1286681715575564
2019-06-09,4.38,-1.1286681715575564,0.0,0.0,4.38,-1.1286681715575564,0,4.38,-1.1286681715575564
2019-06-10,4.41,-0.4514672686230181,0.0,0.0,4.41,-0.4514672686230181,0,4.41,-0.4514672686230181
2019-06-11,4.43,0.0,0.0,0.0,4.43,0.0,0,4.43,0.0
2019-06-12,4.4,-0.6772009029345272,0.0,0.0,4.4,-0.6772009029345272,0,4.4,-0.6772009029345272
2019-06-13,4.38,-1.1286681715575564,0.0,0.0,4.38,-1.1286681715575564,0,4.38,-1.1286681715575564
2019-06-14,4.41,-0.4514672686230181,0.0,0.0,4.41,-0.4514672686230181,0,4.41,-0.4514672686230181
2019-06-15,4.41,-0.4514672686230181,0.0,0.0,4.41,-0.4514672686230181,0,4.41,-0.4514672686230181
2019-06-16,4.41,-0.4514672686230181,0.0,0.0,4.41,-0.4514672686230181,0,4.41,-0.4514672686230181
2019-06-17,4.4,-0.6772009029345272,0.0,0.0,4.4,-0.6772009029345272,0,4.4,-0.6772009029345272
2019-06-18,4.4,-0.6772009029345272,0.0,0.0,4.4,-0.6772009029345272,0,4.4,-0.6772009029345272
2019-06-19,4.46,0.6772009029345494,0.0,0.0,4.46,0.6772009029345494,0,4.46,0.6772009029345494
2019-06-20,4.48,1.1286681715575675,0.0,0.0,4.48,1.1286681715575675,0,4.48,1.1286681715575675
2019-06-21,4.43,0.0,0.0,0.0,4.43,0.0,0,4.43,0.0
2019-06-22,4.43,0.0,0.0,0.0,4.43,0.0,0,4.43,0.0
2019-06-23,4.43,0.0,0.0,0.0,4.43,0.0,0,4.43,0.0
2019-06-24,4.41,-0.4514672686230181,0.0,0.0,4.41,-0.4514672686230181,0,4.41,-0.4514672686230181
2019-06-25,4.43,0.0,0.0,0.0,4.43,0.0,0,4.43,0.0
