date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2019-04-18,5.04,0.0,0.0,0.0,5.04,0.0,0,5.04,0.0
2019-04-19,5.04,0.0,0.0,0.0,5.04,0.0,0,5.04,0.0
2019-04-20,5.04,0.0,0.0,0.0,5.04,0.0,0,5.04,0.0
2019-04-21,5.04,0.0,0.0,0.0,5.04,0.0,0,5.04,0.0
2019-04-22,5.04,0.0,0.0,0.0,5.04,0.0,0,5.04,0.0
2019-04-23,5.05,0.1984126984126977,0.0,0.0,5.05,0.1984126984126977,0,5.05,0.1984126984126977
2019-04-24,5.05,0.1984126984126977,0.0,0.0,5.05,0.1984126984126977,0,5.05,0.1984126984126977
2019-04-25,5.04,0.0,0.0,0.0,5.04,0.0,0,5.04,0.0
2019-04-26,5.05,0.1984126984126977,0.0,0.0,5.05,0.1984126984126977,0,5.05,0.1984126984126977
2019-04-27,5.05,0.1984126984126977,0.0,0.0,5.05,0.1984126984126977,0,5.05,0.1984126984126977
2019-04-28,5.05,0.1984126984126977,0.0,0.0,5.05,0.1984126984126977,0,5.05,0.1984126984126977
2019-04-29,5.06,0.3968253968253954,0.0,0.0,5.06,0.3968253968253954,0,5.06,0.3968253968253954
2019-04-30,5.06,0.3968253968253954,0.0,0.0,5.06,0.3968253968253954,0,5.06,0.3968253968253954
2019-05-01,5.06,0.3968253968253954,0.0,0.0,5.06,0.3968253968253954,0,5.06,0.3968253968253954
2019-05-02,5.03,-0.1984126984126977,0.0,0.0,5.03,-0.1984126984126977,0,5.03,-0.1984126984126977
2019-05-03,5.05,0.1984126984126977,0.0,0.0,5.05,0.1984126984126977,0,5.05,0.1984126984126977
2019-05-04,5.05,0.1984126984126977,0.0,0.0,5.05,0.1984126984126977,0,5.05,0.1984126984126977
2019-05-05,5.05,0.1984126984126977,0.0,0.0,5.05,0.1984126984126977,0,5.05,0.1984126984126977
2019-05-06,5.05,0.1984126984126977,0.0,0.0,5.05,0.1984126984126977,0,5.05,0.1984126984126977
2019-05-07,4.95,-1.7857142857142794,0.0,0.0,4.95,-1.7857142857142794,0,4.95,-1.7857142857142794
2019-05-08,4.95,-1.7857142857142794,0.0,0.0,4.95,-1.7857142857142794,0,4.95,-1.7857142857142794
2019-05-09,4.88,-3.1746031746031744,0.0,0.0,4.88,-3.1746031746031744,0,4.88,-3.1746031746031744
2019-05-10,4.89,-2.976190476190488,0.0,0.0,4.89,-2.976190476190488,0,4.89,-2.976190476190488
2019-05-11,4.89,-2.976190476190488,0.0,0.0,4.89,-2.976190476190488,0,4.89,-2.976190476190488
2019-05-12,4.89,-2.976190476190488,0.0,0.0,4.89,-2.976190476190488,0,4.89,-2.976190476190488
2019-05-13,4.83,-4.1666666666666625,0.0,0.0,4.83,-4.1666666666666625,0,4.83,-4.1666666666666625
2019-05-14,4.88,-3.1746031746031744,0.0,0.0,4.88,-3.1746031746031744,0,4.88,-3.1746031746031744
2019-05-15,4.91,-2.5793650793650813,0.0,0.0,4.91,-2.5793650793650813,0,4.91,-2.5793650793650813
2019-05-16,4.97,-1.388888888888895,0.0,0.0,4.97,-1.388888888888895,0,4.97,-1.388888888888895
2019-05-17,4.95,-1.7857142857142794,0.0,0.0,4.95,-1.7857142857142794,0,4.95,-1.7857142857142794
2019-05-18,4.95,-1.7857142857142794,0.0,0.0,4.95,-1.7857142857142794,0,4.95,-1.7857142857142794
2019-05-19,4.95,-1.7857142857142794,0.0,0.0,4.95,-1.7857142857142794,0,4.95,-1.7857142857142794
2019-05-20,4.91,-2.5793650793650813,0.0,0.0,4.91,-2.5793650793650813,0,4.91,-2.5793650793650813
2019-05-21,4.94,-1.984126984126977,0.0,0.0,4.94,-1.984126984126977,0,4.94,-1.984126984126977
2019-05-22,4.93,-2.182539682539686,0.0,0.0,4.93,-2.182539682539686,0,4.93,-2.182539682539686
2019-05-23,4.86,-3.57142857142857,0.0,0.0,4.86,-3.57142857142857,0,4.86,-3.57142857142857
2019-05-24,4.88,-3.1746031746031744,0.0,0.0,4.88,-3.1746031746031744,0,4.88,-3.1746031746031744
2019-05-25,4.88,-3.1746031746031744,0.0,0.0,4.88,-3.1746031746031744,0,4.88,-3.1746031746031744
2019-05-26,4.88,-3.1746031746031744,0.0,0.0,4.88,-3.1746031746031744,0,4.88,-3.1746031746031744
2019-05-27,4.9,-2.777777777777768,0.0,0.0,4.9,-2.777777777777768,0,4.9,-2.777777777777768
2019-05-28,4.89,-2.976190476190488,0.0,0.0,4.89,-2.976190476190488,0,4.89,-2.976190476190488
2019-05-29,4.82,-4.36507936507936,0.0,0.0,4.82,-4.36507936507936,0,4.82,-4.36507936507936
2019-05-30,4.84,-3.9682539682539764,0.0,0.0,4.84,-3.9682539682539764,0,4.84,-3.9682539682539764
2019-05-31,4.81,-4.5634920634920695,0.0,0.0,4.81,-4.5634920634920695,0,4.81,-4.5634920634920695
