date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2019-04-19,4.71,9.280742459396762,0.0,0.0,4.71,9.280742459396762,0,4.71,9.280742459396762
2019-04-20,4.71,9.280742459396762,0.0,0.0,4.71,9.280742459396762,0,4.71,9.280742459396762
2019-04-21,4.71,9.280742459396762,0.0,0.0,4.71,9.280742459396762,0,4.71,9.280742459396762
2019-04-22,4.71,9.280742459396762,0.0,0.0,4.71,9.280742459396762,0,4.71,9.280742459396762
2019-04-23,4.77,10.672853828306273,0.0,0.0,4.77,10.672853828306273,0,4.77,10.672853828306273
2019-04-24,4.77,10.672853828306273,0.0,0.0,4.77,10.672853828306273,0,4.77,10.672853828306273
2019-04-25,4.8,11.368909512761016,0.0,0.0,4.8,11.368909512761016,0,4.8,11.368909512761016
2019-04-26,4.82,11.832946635730867,0.0,0.0,4.82,11.832946635730867,0,4.82,11.832946635730867
2019-04-27,4.82,11.832946635730867,0.0,0.0,4.82,11.832946635730867,0,4.82,11.832946635730867
2019-04-28,4.82,11.832946635730867,0.0,0.0,4.82,11.832946635730867,0,4.82,11.832946635730867
2019-04-29,4.83,12.064965197215782,0.0,0.0,4.83,12.064965197215782,0,4.83,12.064965197215782
2019-04-30,4.8,11.368909512761016,0.0,0.0,4.8,11.368909512761016,0,4.8,11.368909512761016
2019-05-01,4.76,10.440835266821358,0.0,0.0,4.76,10.440835266821358,0,4.76,10.440835266821358
2019-05-02,4.75,10.208816705336442,0.0,0.0,4.75,10.208816705336442,0,4.75,10.208816705336442
2019-05-03,4.82,11.832946635730867,0.0,0.0,4.82,11.832946635730867,0,4.82,11.832946635730867
2019-05-04,4.82,11.832946635730867,0.0,0.0,4.82,11.832946635730867,0,4.82,11.832946635730867
2019-05-05,4.82,11.832946635730867,0.0,0.0,4.82,11.832946635730867,0,4.82,11.832946635730867
2019-05-06,4.77,10.672853828306273,0.0,0.0,4.77,10.672853828306273,0,4.77,10.672853828306273
2019-05-07,4.71,9.280742459396762,0.0,0.0,4.71,9.280742459396762,0,4.71,9.280742459396762
2019-05-08,4.7,9.048723897911849,0.0,0.0,4.7,9.048723897911849,0,4.7,9.048723897911849
2019-05-09,4.68,8.584686774941996,0.0,0.0,4.68,8.584686774941996,0,4.68,8.584686774941996
2019-05-10,4.68,8.584686774941996,0.0,0.0,4.68,8.584686774941996,0,4.68,8.584686774941996
2019-05-11,4.68,8.584686774941996,0.0,0.0,4.68,8.584686774941996,0,4.68,8.584686774941996
2019-05-12,4.68,8.584686774941996,0.0,0.0,4.68,8.584686774941996,0,4.68,8.584686774941996
2019-05-13,4.56,5.8004640371229765,0.0,0.0,4.56,5.8004640371229765,0,4.56,5.8004640371229765
2019-05-14,4.61,6.960556844547572,0.0,0.0,4.61,6.960556844547572,0,4.61,6.960556844547572
2019-05-15,4.66,8.120649651972167,0.0,0.0,4.66,8.120649651972167,0,4.66,8.120649651972167
2019-05-16,4.7,9.048723897911849,0.0,0.0,4.7,9.048723897911849,0,4.7,9.048723897911849
2019-05-17,4.67,8.352668213457083,0.0,0.0,4.67,8.352668213457083,0,4.67,8.352668213457083
2019-05-18,4.67,8.352668213457083,0.0,0.0,4.67,8.352668213457083,0,4.67,8.352668213457083
2019-05-19,4.67,8.352668213457083,0.0,0.0,4.67,8.352668213457083,0,4.67,8.352668213457083
2019-05-20,4.65,7.8886310904872525,0.0,0.0,4.65,7.8886310904872525,0,4.65,7.8886310904872525
2019-05-21,4.69,8.816705336426933,0.0,0.0,4.69,8.816705336426933,0,4.69,8.816705336426933
2019-05-22,4.67,8.352668213457083,0.0,0.0,4.67,8.352668213457083,0,4.67,8.352668213457083
2019-05-23,4.62,7.1925754060324865,0.0,0.0,4.62,7.1925754060324865,0,4.62,7.1925754060324865
2019-05-24,4.61,6.960556844547572,0.0,0.0,4.61,6.960556844547572,0,4.61,6.960556844547572
2019-05-25,4.61,6.960556844547572,0.0,0.0,4.61,6.960556844547572,0,4.61,6.960556844547572
2019-05-26,4.61,6.960556844547572,0.0,0.0,4.61,6.960556844547572,0,4.61,6.960556844547572
